Candidate Type,Time Slot,Group Number,Group ID,Applicant Name,Email,Major,Student Year,Applied Before,Status,Assigned At
Non-Tech,6:00 PM-7:00 PM,1,A-1,"Olivia Miller",nontech7@test.com,"Communications",3rd,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,1,A-1,"Kevin Zhang",nontech4@test.com,"Finance",3rd,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,1,A-1,"Sophie Anderson",nontech3@test.com,"Psychology",4th,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,1,A-1,"Maria Garcia",nontech1@test.com,"Business Administration",3rd,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,2,A-2,"Hannah Wright",nontech9@test.com,"Sociology",4th,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,2,A-2,"Avery Scott",nontech11@test.com,"Public Policy",2nd,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,2,A-2,"Optimized Test User 1",optimized-test-1@example.com,"Business",Sophomore,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,2,A-2,"Optimized Test User 4",optimized-test-4@example.com,"Computer Science",Freshman,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,3,A-3,"Optimized Test User 7",optimized-test-7@example.com,"Arts",Senior,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,3,A-3,"Optimized Test User 22",optimized-test-22@example.com,"Engineering",Junior,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,3,A-3,"Optimized Test User 16",optimized-test-16@example.com,"Computer Science",Freshman,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,3,A-3,"Optimized Test User 10",optimized-test-10@example.com,"Engineering",Junior,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,4,A-4,"Optimized Test User 28",optimized-test-28@example.com,"Computer Science",Freshman,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,4,A-4,"Optimized Test User 34",optimized-test-34@example.com,"Engineering",Junior,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,4,A-4,"Optimized Test User 37",optimized-test-37@example.com,"Business",Sophomore,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,4,A-4,"Optimized Test User 40",optimized-test-40@example.com,"Computer Science",Freshman,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,5,A-5,"Optimized Test User 52",optimized-test-52@example.com,"Computer Science",Freshman,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,5,A-5,"Optimized Test User 55",optimized-test-55@example.com,"Arts",Senior,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,5,A-5,"Optimized Test User 49",optimized-test-49@example.com,"Business",Sophomore,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,5,A-5,"Optimized Test User 43",optimized-test-43@example.com,"Arts",Senior,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,6,A-6,"Optimized Test User 58",optimized-test-58@example.com,"Engineering",Junior,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,6,A-6,"Optimized Test User 61",optimized-test-61@example.com,"Business",Sophomore,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,6,A-6,"Optimized Test User 67",optimized-test-67@example.com,"Arts",Senior,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,6,A-6,"Optimized Test User 73",optimized-test-73@example.com,"Business",Sophomore,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,7,A-7,"Optimized Test User 97",optimized-test-97@example.com,"Business",Sophomore,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,7,A-7,"Optimized Test User 100",optimized-test-100@example.com,"Computer Science",Freshman,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,7,A-7,"Optimized Test User 91",optimized-test-91@example.com,"Arts",Senior,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,7,A-7,"Optimized Test User 76",optimized-test-76@example.com,"Computer Science",Freshman,Yes,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,8,A-8,"Scaling Test User 3",scaling-test-3@example.com,"Arts",Senior,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,8,A-8,"Scaling Test User 5",scaling-test-5@example.com,"Mathematics",Freshman,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,8,A-8,"Scaling Test User 9",scaling-test-9@example.com,"Arts",Graduate,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,8,A-8,"Scaling Test User 11",scaling-test-11@example.com,"Mathematics",Sophomore,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,9,A-9,"Scaling Test User 15",scaling-test-15@example.com,"Arts",Freshman,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,9,A-9,"Scaling Test User 17",scaling-test-17@example.com,"Mathematics",Junior,No,Assigned,8/22/2025, 6:28:44 PM
Non-Tech,6:00 PM-7:00 PM,9,A-9,"Scaling Test User 21",scaling-test-21@example.com,"Arts",Sophomore,No,Assigned,8/22/2025, 6:28:44 PM
